symbol,shortName,exchange,bucket,marketCap,sector_name,industry_name
FRCOF,Fast Retailing Co. Ltd.,PNK,large,154603814912.0,Consumer Cyclical,Apparel Retail
DTEGF,Deutsche Telekom AG,OQX,large,154239188992.0,Communication Services,Telecom Services
CIHHF,"China Merchants Bank Co., Ltd.",PNK,large,153841057792.0,Financial Services,Banks - Regional
HTHIF,Hitachi Ltd.,PNK,large,153173540864.0,Industrials,Conglomerates
SMERY,Siemens Energy AG,OQX,large,150685270016.0,Industrials,Specialty Industrial Machinery
SMEGF,Siemens Energy AG,OQX,large,150430023680.0,Industrials,Specialty Industrial Machinery
ATEYY,Advantest Corp.,PNK,large,149641297920.0,Technology,Semiconductor Equipment & Materials
UNCFF,UniCredito Spa,PNK,large,147130826752.0,Financial Services,Banks - Regional
UNCRY,UniCredito Spa,PNK,large,145872289792.0,Financial Services,Banks - Regional
BNPQY,BNP Paribas,OQX,large,142195048448.0,Financial Services,Banks - Regional
CFRUY,Compagnie Financiere Richemont ,PNK,large,142105165824.0,Consumer Cyclical,Luxury Goods
BNPQF,BNP Paribas,OQX,large,141362069504.0,Financial Services,Banks - Regional
CFRHF,Compagnie Financiere Richemont ,PNK,large,139424153600.0,Consumer Cyclical,Luxury Goods
RCRRF,"Recruit Holdings Co., Ltd.",PNK,large,138974904320.0,Communication Services,Internet Content & Information
IVSBF,Investors AB,PNK,large,138808541184.0,Financial Services,Asset Management
ISNPY,Intesa Sanpaolo S.p.A.,OID,large,138606936064.0,Financial Services,Banks - Regional
SONY,Sony Group Corporation,NYQ,large,137767944192.0,Technology,Consumer Electronics
CUAEF,"China Shenhua Energy Co., Ltd.",PNK,large,137077227520.0,Energy,Thermal Coal
IITSF,Intesa Sanpaolo S.p.A.,OID,large,136561729536.0,Financial Services,Banks - Regional
UL,Unilever PLC,NYQ,large,135636443136.0,Consumer Defensive,Household & Personal Products
UNLYF,"Unilever, PLC",PNK,large,135270211584.0,Consumer Defensive,Household & Personal Products
RCRUY,"Recruit Holdings Co., Ltd.",PNK,large,135110238208.0,Communication Services,Internet Content & Information
PIAIF,Ping An Insurance (Group) Compa,PNK,large,133996552192.0,Financial Services,Insurance - Life
BTAFF,British American Tobacco p.l.c.,PNK,large,133750448128.0,Consumer Defensive,Tobacco
KYCCF,Keyence Corp.,PNK,large,132583636992.0,Technology,Scientific & Technical Instruments
PNGAY,Ping An Insurance (Group) Compa,PNK,large,132276322304.0,Financial Services,Insurance - Life
IVSXF,Investors AB,PNK,large,131731791872.0,Financial Services,Asset Management
SNEJF,Sony Group Corporation,PNK,large,131308249088.0,Technology,Consumer Electronics
MFG,"Mizuho Financial Group, Inc. Sp",NYQ,large,130471288832.0,Financial Services,Banks - Regional
BTI,British American Tobacco  Indus,NYQ,large,127949275136.0,Consumer Defensive,Tobacco
BMO,Bank Of Montreal,NYQ,large,127160639488.0,Financial Services,Banks - Diversified
AIQUY,L'Air Liquide SA,PNK,large,126537900032.0,Basic Materials,Specialty Chemicals
AIQUF,L'Air Liquide SA,PNK,large,125552320512.0,Basic Materials,Specialty Chemicals
MZHOF,Mizuho Financial Group Inc.,PNK,large,124550733824.0,Financial Services,Banks - Regional
ZIJMF,Zijin Mining Group Company Ltd.,PNK,large,124444532736.0,Basic Materials,Gold
ZIJMY,Zijin Mining Group Company Ltd.,PNK,large,124311592960.0,Basic Materials,Gold
HDB,HDFC Bank Limited,NYQ,large,121340215296.0,Financial Services,Banks - Regional
CSUAY,"China Shenhua Energy Co., Ltd.",PNK,large,118803873792.0,Energy,Thermal Coal
NEMCL,NEWMONT CORPORATION CDI 1:1,PNK,large,118013534208.0,Basic Materials,Gold
PBR,Petroleo Brasileiro S.A. Petrob,NYQ,large,115740811264.0,Energy,Oil & Gas Integrated
ENLAY,ENEL Societa per Azioni,PNK,large,115010625536.0,Utilities,Utilities - Diversified
HNHPF,Hon Hai Precision Industry Co. ,PNK,large,114605719552.0,Technology,Electronic Components
WFC-PC,Wells Fargo & Company Depositar,NYQ,large,113834860544.0,Financial Services,Banks - Diversified
MTSUY,Mitsubishi Corp.,PNK,large,113433223168.0,Industrials,Conglomerates
ENB,Enbridge Inc,NYQ,large,111999901696.0,Energy,Oil & Gas Midstream
ESOCF,ENEL Societa per Azioni,PNK,large,111934406656.0,Utilities,Utilities - Diversified
PBR-A,Petroleo Brasileiro S.A. Petrob,NYQ,large,109955014656.0,Energy,Oil & Gas Integrated
MSBHF,Mitsubishi Corp.,PNK,large,109844955136.0,Industrials,Conglomerates
ZFSVF,Zurich Insurance Group Ltd,OQX,large,109444358144.0,Financial Services,Insurance - Diversified
ZURVY,Zurich Insurance Group Ltd,OQX,large,109218816000.0,Financial Services,Insurance - Diversified
BNS,Bank Nova Scotia Halifax Pfd 3,NYQ,large,108509749248.0,Financial Services,Banks - Diversified
IBN,ICICI Bank Limited,NYQ,large,108388212736.0,Financial Services,Banks - Regional
CM,Canadian Imperial Bank of Comme,NYQ,large,108349440000.0,Financial Services,Banks - Diversified
ATLKY,Atlas Copco AB,PNK,large,107963875328.0,Industrials,Specialty Industrial Machinery
BP,BP p.l.c.,NYQ,large,107211505664.0,Energy,Oil & Gas Integrated
DLEGF,Delta Electronics Thailand Publ,PNK,large,106852081664.0,Industrials,Electrical Equipment & Parts
GPMXY,Grupo Mexico S.A.B. de C.V.,PNK,large,106662289408.0,Basic Materials,Other Industrial Metals & Mining
OVCHY,"Overseas Chinese Banking Corp.,",PNK,large,106637426688.0,Financial Services,Banks - Regional
AXAHY,AXA,OQX,large,106072907776.0,Financial Services,Insurance - Diversified
GSK,GSK plc,NYQ,large,106068582400.0,Healthcare,Drug Manufacturers - General
SNYNF,Sanofi,PNK,large,105933234176.0,Healthcare,Drug Manufacturers - General
BYDDF,"BYD Co., Ltd.",PNK,large,105121284096.0,Consumer Cyclical,Auto Manufacturers
BPAQF,BP Plc,PNK,large,105073967104.0,Energy,Oil & Gas Integrated
BYDDY,"BYD Co., Ltd.",PNK,large,104938946560.0,Consumer Cyclical,Auto Manufacturers
SBKFF,STATE BANK OF INDIA GDR-EACH RE,PNK,large,104730583040.0,Financial Services,Banks - Regional
PROSY,Prosus NV,PNK,large,104301035520.0,Consumer Cyclical,Internet Retail
SNY,Sanofi,NMS,large,104136130560.0,Healthcare,Drug Manufacturers - General
AXAHF,AXA,OQX,large,104038522880.0,Financial Services,Insurance - Diversified
CILJF,China Life Insurance Company Li,PNK,large,104014110720.0,Financial Services,Insurance - Life
PROSF,Prosus NV,PNK,large,103853580288.0,Consumer Cyclical,Internet Retail
ATLPF,ATLAS COPCO AB,PNK,large,103621902336.0,Industrials,Specialty Industrial Machinery
GLAXF,GSK plc,PNK,large,103585112064.0,Healthcare,Drug Manufacturers - General
GMBXF,Grupo Mexico S.A.B. de C.V.,PNK,large,102917701632.0,Basic Materials,Other Industrial Metals & Mining
CAIXY,Caixabank SA,PNK,large,102685270016.0,Financial Services,Banks - Regional
ING,"ING Group, N.V.",NYQ,large,101958074368.0,Financial Services,Banks - Diversified
CIXPF,CAIXABANK SA,PNK,large,100601831424.0,Financial Services,Banks - Regional
AAGIY,"AIA Group, Ltd.",PNK,large,98362802176.0,Financial Services,Insurance - Life
OVCHF,"Overseas Chinese Banking Corp.,",PNK,large,98189049856.0,Financial Services,Banks - Regional
TKOMF,"Tokio Marine Holdings, Inc.",PNK,large,97629118464.0,Financial Services,Insurance - Property & Casualty
INGVF,ING Groep N.V.,PNK,large,97014480896.0,Financial Services,Banks - Diversified
TKOMY,"Tokio Marine Holdings, Inc.",PNK,large,96242286592.0,Financial Services,Insurance - Property & Casualty
AAIGF,"AIA Group, Ltd.",PNK,large,95425830912.0,Financial Services,Insurance - Life
CHDRF,Christian Dior S.E.,PNK,large,95332556800.0,Consumer Cyclical,Luxury Goods
STOHF,Equinor ASA,PNK,large,94421213184.0,Energy,Oil & Gas Integrated
BCS,Barclays PLC,NYQ,large,94111268864.0,Financial Services,Banks - Diversified
CHDRY,Christian Dior S.E.,PNK,large,94102151168.0,Consumer Cyclical,Luxury Goods
ATLCY,Atlas Copco AB,PNK,large,93913448448.0,Industrials,Specialty Industrial Machinery
CNQ,Canadian Natural Resources Limi,NYQ,large,93818863616.0,Energy,Oil & Gas E&P
IFNNY,Infineon Technologies AG,OQX,large,93810884608.0,Technology,Semiconductors
BCLYF,Barclays Plc,PNK,large,93673226240.0,Financial Services,Banks - Diversified
MGCLY,Midea Group Co Ltd.,PNK,large,93064216576.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
IFNNF,Infineon Technologies AG,OQX,large,92459401216.0,Technology,Semiconductors
EQNR,Equinor ASA,NYQ,large,92449644544.0,Energy,Oil & Gas Integrated
ITOCY,Itochu Corp.,PNK,large,91987247104.0,Industrials,Conglomerates
ESLOY,EssilorLuxottica,PNK,large,91835596800.0,Healthcare,Medical Instruments & Supplies
NABZY,National Australia Bank Ltd. (V,PNK,large,91595145216.0,Financial Services,Banks - Diversified
LYG,Lloyds Banking Group Plc,NYQ,large,91332780032.0,Financial Services,Banks - Regional
LLDTF,Lloyds Banking Group plc,PNK,large,91332780032.0,Financial Services,Banks - Regional
NAUBF,National Australia Bank Ltd. (V,PNK,large,91197169664.0,Financial Services,Banks - Diversified
WBKCY,Westpac Banking Corp. Ltd.,PNK,large,90904838144.0,Financial Services,Banks - Diversified
ESLOF,EssilorLuxottica,PNK,large,90806108160.0,Healthcare,Medical Instruments & Supplies
WEBNF,Westpac Banking Corp. Ltd.,PNK,large,90665787392.0,Financial Services,Banks - Diversified
AEM,Agnico Eagle Mines Limited,NYQ,large,90548166656.0,Basic Materials,Gold
ITOCF,Itochu Corp.,PNK,large,90309672960.0,Industrials,Conglomerates
XIACY,Xiaomi Corp.,PNK,large,89698197504.0,Technology,Consumer Electronics
GLCNF,Glencore Plc,PNK,large,89525714944.0,Basic Materials,Other Industrial Metals & Mining
MITSY,"Mitsui & Co., Ltd.",PNK,large,89196150784.0,Industrials,Conglomerates
BCMXY,Bank of Communications Co. Ltd.,PNK,large,88752586752.0,Financial Services,Banks - Diversified
XIACF,Xiaomi Corp.,PNK,large,88513888256.0,Technology,Consumer Electronics
PSBKF,Postal Savings Bank of China Co,PNK,large,88100069376.0,Financial Services,Banks - Regional
BAESY,BAE Systems PLC,PNK,large,87914381312.0,Industrials,Aerospace & Defense
BAESF,BAE Systems PLC,PNK,large,87907057664.0,Industrials,Aerospace & Defense
SNHIY,,PNK,large,87812300800.0,Industrials,Farm & Heavy Construction Machinery
GLNCY,Glencore Plc,PNK,large,87709417472.0,Basic Materials,Other Industrial Metals & Mining
ITUB,Itau Unibanco Banco Holding SA,NYQ,large,87513661440.0,Financial Services,Banks - Regional
MITSF,"Mitsui & Co., Ltd.",PNK,large,87128621056.0,Industrials,Conglomerates
MHVIY,Mitsubishi Heavy Industries Ltd,PNK,large,86626197504.0,Industrials,Specialty Industrial Machinery
MHVYF,Mitsubishi Heavy Industries Ltd,PNK,large,86189367296.0,Industrials,Specialty Industrial Machinery
MRAAY,Murata Manufacturing Inc.,PNK,large,84680933376.0,Technology,Electronic Components
EIPAF,ENI S.p.A.,PNK,large,83594444800.0,Energy,Oil & Gas Integrated
NGGTF,National Grid PLC,PNK,large,82841673728.0,Utilities,Utilities - Regulated Electric
ATLFF,ATLAS COPCO AB,PNK,large,82838978560.0,Industrials,Specialty Industrial Machinery
MRAAF,Murata Manufacturing Inc.,PNK,large,82824208384.0,Technology,Electronic Components
ASX,"ASE Technology Holding Co., Ltd",NYQ,large,82213707776.0,Technology,Semiconductors
NTTYY,NTT Inc.,PNK,large,81430372352.0,Communication Services,Telecom Services
NGG,"National Grid Transco, PLC Nati",NYQ,large,81313521664.0,Utilities,Utilities - Regulated Electric
ENGQF,ENGIE SA,PNK,large,80861151232.0,Utilities,Utilities - Diversified
ANZGY,ANZ GROUP HLDGS LTD,PNK,large,80575168512.0,Financial Services,Banks - Diversified
CP,Canadian Pacific Kansas City Li,NYQ,large,80541245440.0,Industrials,Railroads
NPPXF,NTT Inc.,PNK,large,80390979584.0,Communication Services,Telecom Services
JAPAY,Japan Tobacco,PNK,large,80033120256.0,Consumer Defensive,Tobacco
VCISY,Vinci SA,PNK,large,79900459008.0,Industrials,Engineering & Construction
VCISF,Vinci SA,PNK,large,79635013632.0,Industrials,Engineering & Construction
ENGIY,ENGIE SA,PNK,large,78483030016.0,Utilities,Utilities - Diversified
ARZGY,Assicurazioni Generali Spa,PNK,large,78072881152.0,Financial Services,Insurance - Diversified
VOLVF,Volvo AB,PNK,large,77759209472.0,Industrials,Farm & Heavy Construction Machinery
NETTF,"NetEase, Inc.",PNK,large,77662355456.0,Communication Services,Electronic Gaming & Multimedia
E,ENI S.p.A.,NYQ,large,77534576640.0,Energy,Oil & Gas Integrated
ANZGF,ANZ GROUP HLDGS LTD,PNK,large,77383483392.0,Financial Services,Banks - Diversified
JAPAF,Japan Tobacco,PNK,large,76908486656.0,Consumer Defensive,Tobacco
RBSPF,NatWest Group plc,PNK,large,76811706368.0,Financial Services,Banks - Regional
AMXOF,AMERICA MOVIL SAB DE CV,PNK,large,76791037952.0,Communication Services,Telecom Services
CNI,Canadian National Railway Compa,NYQ,large,76580331520.0,Industrials,Railroads
VLVLY,Volvo AB,PNK,large,76400852992.0,Industrials,Farm & Heavy Construction Machinery
NWG,NatWest Group plc,NYQ,large,76373925888.0,Financial Services,Banks - Regional
MIELY,Mitsubishi Electric Corp.,PNK,large,76332056576.0,Industrials,Electrical Equipment & Parts
MIELF,Mitsubishi Electric Corp.,PNK,large,75730403328.0,Industrials,Electrical Equipment & Parts
PSTVY,Postal Svgs Bk of China Ltd.,PNK,large,75425251328.0,Financial Services,Banks - Regional
MURGY,Muenchener Rueckver Ges,PNK,large,74922516480.0,Financial Services,Insurance - Reinsurance
WUXAY,Wuxi Apptec Co Ltd.,PNK,large,74534248448.0,Healthcare,Diagnostics & Research
CMCLY,,PNK,large,74387275776.0,Basic Materials,Other Industrial Metals & Mining
MFC,Manulife Financial Corporation,NYQ,large,73537929216.0,Financial Services,Insurance - Life
B,Barrick Mining Corporation,NYQ,large,73362235392.0,Basic Materials,Gold
MPNGF,MEITUAN,PNK,large,73136316416.0,Consumer Cyclical,Internet Retail
WFAFY,Wesfarmers Ltd.,PNK,large,73112207360.0,Consumer Cyclical,Home Improvement Retail
MKGAF,Merck KGaA,PNK,large,72955731968.0,Healthcare,Drug Manufacturers - Specialty & Generic
MPNGY,MEITUAN,PNK,large,72914132992.0,Consumer Cyclical,Internet Retail
MKKGY,Merck KGaA,PNK,large,72564424704.0,Healthcare,Drug Manufacturers - Specialty & Generic
RACE,Ferrari N.V.,NYQ,large,72460812288.0,Consumer Cyclical,Auto Manufacturers
MURGF,Muenchener Rueckver Ges,PNK,large,72217501696.0,Financial Services,Insurance - Reinsurance
SHECY,"Shin-Etsu Chemical Co., Ltd.",PNK,large,71842217984.0,Basic Materials,Chemicals
DPSTF,Deutsche Post AG,OID,large,71642767360.0,Industrials,Integrated Freight & Logistics
DHLGY,Deutsche Post AG,OID,large,71519649792.0,Industrials,Integrated Freight & Logistics
DB,Deutsche Bank AG,NYQ,large,71514742784.0,Financial Services,Banks - Regional
MQBKY,"Macquarie Group, Ltd.",PNK,large,71497752576.0,Financial Services,Capital Markets
SCGLY,Societe Generale,OID,large,71297212416.0,Financial Services,Banks - Regional
CHGCY,"Chugai Pharmaceutical Co., Ltd.",PNK,large,71294451712.0,Healthcare,Drug Manufacturers - General
AMX,"America Movil, S.A.B. de C.V.",NYQ,large,71241687040.0,Communication Services,Telecom Services
CHGCF,CHUGAI PHARMACEUTICAL CO,PNK,large,70578544640.0,Healthcare,Drug Manufacturers - General
SU,Suncor Energy  Inc.,NYQ,large,70294732800.0,Energy,Oil & Gas Integrated
SCGLF,Societe Generale,OID,large,70045089792.0,Financial Services,Banks - Regional
SOBKY,Softbank Corp.,PNK,large,69741559808.0,Communication Services,Telecom Services
WFAFF,Wesfarmers Ltd.,PNK,large,69263597568.0,Consumer Cyclical,Home Improvement Retail
SHECF,"Shin-Etsu Chemical Co., Ltd.",PNK,large,68901199872.0,Basic Materials,Chemicals
NRDBY,Nordea Bank Abp,OQX,large,68859265024.0,Financial Services,Banks - Regional
HKXCF,Hong Kong Exchange & Clearing L,PNK,large,68717010944.0,Financial Services,Financial Data & Stock Exchanges
CRARY,Credit Agricole SA,PNK,large,68618002432.0,Financial Services,Banks - Regional
MCQEF,"Macquarie Group, Ltd.",PNK,large,68597395456.0,Financial Services,Capital Markets
KDDIY,KDDI Corp.,PNK,large,68395413504.0,Communication Services,Telecom Services
NBNKF,Nordea Bank Abp,OQX,large,67909009408.0,Financial Services,Banks - Regional
CRARF,Credit Agricole SA,PNK,large,67740610560.0,Financial Services,Banks - Regional
JPSTF,JAPAN POST BANK CO LTD,PNK,large,67677728768.0,Financial Services,Banks - Regional
BHKLY,BOC Hong Kong (Holdings) Ltd.,PNK,large,67634077696.0,Financial Services,Banks - Regional
SNPMF,China Petroleum & Chemical Corp,PNK,large,67620380672.0,Energy,Oil & Gas Integrated
JPPTY,JAPAN POST BK CO LTD,PNK,large,67392770048.0,Financial Services,Banks - Regional
SFBQF,Softbank Group Corp,PNK,large,66967203840.0,Communication Services,Telecom Services
AVIKF,Advanced Info Service Public Co,PNK,large,66824024064.0,Communication Services,Telecom Services
HKXCY,Hong Kong Exchange & Clearing L,PNK,large,66614439936.0,Financial Services,Financial Data & Stock Exchanges
SCBFY,Standard Chartered PLC,PNK,large,66124967936.0,Financial Services,Banks - Diversified
TRP,TC Energy Corporation,NYQ,large,65870921728.0,Energy,Oil & Gas Midstream
SCBFF,Standard Chartered PLC,PNK,large,65708814336.0,Financial Services,Banks - Diversified
RLXXF,RELX PLC,PNK,large,64757821440.0,Industrials,Specialty Business Services
PCRHY,Panasonic Holdings Corporation,PNK,large,64443932672.0,Technology,Consumer Electronics
THLEF,THALES,PNK,large,64233324544.0,Industrials,Aerospace & Defense
KDDIF,KDDI Corp.,PNK,large,63896109056.0,Communication Services,Telecom Services
BNKHF,BOC Hong Kong (Holdings) Ltd.,PNK,large,62908043264.0,Financial Services,Banks - Regional
NTIOF,National Bank of Canada,PNK,large,62843715584.0,Financial Services,Banks - Diversified
THLLY,THALES,PNK,large,62786695168.0,Industrials,Aerospace & Defense
LOBLY,Loblaw Companies Limited,PNK,large,62756851712.0,Consumer Defensive,Grocery Stores
